ImageNumber,ImageName,Greenness,Category,log_greenness,Luminance
38,38.jpeg,0.0,Combined+,0.0,58.82186142396899
39,39.jpeg,0.0283489227294921,Combined+,0.02795452844093679,62.79891840544011
40,40.jpeg,0.0535163879394531,Combined+,0.052133509850138385,51.075481803927154
41,41.jpeg,0.0120964050292968,Combined+,0.012023828214805337,37.18062900184355
42,42.jpeg,0.0222082138061523,Combined+,0.021965202739590354,53.31493469007511
43,43.jpeg,0.0092983245849609,Combined+,0.00925536128404833,51.81703991195588
44,44.jpeg,0.0072622299194335,Combined+,0.007235986906333175,53.07203000121809
45,45.jpeg,0.0010566711425781,Combined+,0.0010561132585916746,53.501609041451054
46,46.jpeg,0.0024366378784179,Combined+,0.0024336740898193497,63.95196198251016
47,47.jpeg,0.001194953918457,Combined+,0.001194240529278289,68.93749354107281
48,48.jpeg,0.001251220703125,Combined+,0.0012504385788397877,56.81741334508966
49,49.jpeg,0.0270471572875976,Combined+,0.02668784740694505,52.64749394320063
50,50.jpeg,0.0008125305175781,Combined+,0.0008122005933606697,57.40688226861796
51,51.jpeg,0.0010395050048828,Combined+,0.0010389650936830808,48.21936490120292
52,52.jpeg,0.0012578964233398,Combined+,0.0012571059344665167,57.32197987074503
53,53.jpeg,0.0049896240234375,Combined+,0.0049772171029539986,45.58578952549063
54,54.jpeg,7.43865966796875e-05,Combined+,7.43838301339998e-05,42.458624810705146
55,55.jpeg,0.0590219497680664,Combined+,0.057345793286497374,41.46172866212573
56,56.jpeg,0.0574970245361328,Combined+,0.05590481825692179,41.43375053727896
57,57.jpeg,0.0069875717163085,Combined+,0.006963271769805194,42.69603827884945
58,58.jpeg,0.0,Combined+,0.0,66.2616172647237
59,59.jpeg,0.0089712142944335,Combined+,0.008931212019452859,62.50107160930119
60,60.jpeg,0.0010957717895507,Combined+,0.0010951718698533708,62.47454596541815
61,61.jpeg,0.0362138748168945,Combined+,0.03557356540434392,52.46533803128005
62,62.jpeg,0.0070810317993164,Combined+,0.007056079018686235,42.54453546870602
63,63.jpeg,0.0087223052978515,Combined+,0.00868448574965251,51.58692226541006
64,64.jpeg,0.0357866287231445,Combined+,0.03516116579432905,38.5939242814478
65,65.jpeg,0.0040006637573242,Combined+,0.0039926823821916264,49.03431996438408
66,66.jpeg,0.0040531158447265,Combined+,0.0040449240979733864,36.16563888816642
67,67.jpeg,0.0784244537353515,Combined+,0.07550113686034539,40.73972573532576
68,68.jpeg,0.0039119720458984,Combined+,0.003904340180542,45.25123698484342
69,69.jpeg,0.0423011779785156,Combined+,0.04143093993473117,48.12799564286598
70,70.jpeg,0.0008611679077148,Combined+,0.0008607973153783841,49.73247608110125
71,71.jpeg,4.9591064453125e-05,Combined+,4.958983485693936e-05,53.82191466311945
72,72.jpeg,0.0001840591430664,Combined+,0.00018404220626054427,41.404250132943
73,73.jpeg,0.0221681594848632,Combined+,0.02192601785972428,49.80638733309771
74,74.jpeg,0.0387048721313476,Combined+,0.03797462184556437,44.675641015782766
75,75.jpeg,0.0917110443115234,Combined+,0.0877462308705961,42.42159488971651
76,76.jpeg,4.76837158203125e-06,Combined+,4.768360213383618e-06,59.27225833728789
77,77.jpeg,0.0770931243896484,Combined+,0.07426586090759578,45.52810051351242
78,78.jpeg,0.0078725814819335,Combined+,0.007841754399119235,40.79004007021796
79,79.jpeg,0.0348882675170898,Combined+,0.03429346680010194,40.384963788808726
80,80.jpeg,0.049544334411621,Combined+,0.048356102751375786,45.096863354642856
81,81.jpeg,0.0,Biophilic-,0.0,70.48083954106568
82,82.jpeg,0.008397102355957,Biophilic-,0.008362042820911516,35.49365822494358
83,83.jpeg,0.0003185272216796,Biophilic-,0.00031847650265409895,39.92391675450448
84,84.jpeg,0.000955581665039,Biophilic-,0.0009551253875302,46.01330676435588
85,85.jpeg,0.0112161636352539,Biophilic-,0.011153728890351683,40.87266439764598
86,86.jpeg,0.0007057189941406,Biophilic-,0.0007054700915878764,51.94941507119058
87,87.jpeg,0.0002822875976562,Biophilic-,0.0002822477620088679,36.41021938221302
88,88.jpeg,8.0108642578125e-05,Biophilic-,8.010543405216977e-05,57.49826759011167
